"tubetrans","value1","value2","vector1","vector2"
"1",310070169,310070483,"1","3"
"1",467127727,467127935,"1","3"
"1",494130892,494131103,"1","3"
"1",636190366,636190623,"1","3"
"1",636522786,636522960,"1","3"
"1",851170466,851170823,"1","3"
"1",489130972,489131275,"1","4"
"1",596040114,596040514,"1","4"
"1",714196294,714196527,"1","4"
"1",769502191,769502553,"1","4"
"1",889120429,889120748,"1","4"
"1",442230513,442230955,"1","6"
"1",490729341,490729799,"1","6"
"1",565439348,565439692,"1","6"
"1",570767341,570767829,"1","6"
"1",574984210,574984488,"1","6"
"1",575223110,575223162,"6","1"
"1",323567499,323567751,"1","7"
"1",478472576,478472950,"1","7"
"1",487500092,487500235,"1","7"
"1",494736021,494736325,"1","7"
"1",518100165,518100573,"1","7"
"1",568491892,568492322,"1","7"
"1",582303485,582303748,"1","7"
"1",603111255,603111645,"1","7"
"1",738929880,738930045,"1","7"
"1",821638363,821638588,"1","7"
"1",841331800,841332094,"1","7"
"1",842161850,842162309,"1","7"
"1",43068376,43068684,"1","8"
"1",55348412,55348634,"1","8"
"1",55829018,55829199,"1","8"
"1",139831780,139832156,"1","8"
"1",140976517,140976716,"1","8"
"1",168575598,168575837,"1","8"
"1",170373594,170373965,"1","8"
"1",218454360,218454642,"1","8"
"1",242235848,242236131,"1","8"
"1",243689080,243689353,"1","8"
"1",338672248,338672475,"1","8"
"1",340160058,340160357,"1","8"
"1",395574946,395575431,"1","8"
"1",416737530,416737924,"1","8"
"1",422374158,422374470,"1","8"
"1",494130892,494131310,"1","8"
"1",571789786,571789990,"1","8"
"1",572680451,572680936,"1","8"
"1",598352119,598352323,"1","8"
"1",647877993,647878388,"1","8"
"1",650645383,650645552,"1","8"
"1",657684200,657684602,"1","8"
"1",657806230,657806702,"1","8"
"1",659265084,659265508,"1","8"
"1",659966909,659967273,"1","8"
"1",667707616,667707748,"1","8"
"1",670051941,670052375,"1","8"
"1",678426734,678426958,"1","8"
"1",685721856,685722072,"1","8"
"1",693345468,693345668,"1","8"
"1",748496895,748497176,"1","8"
"1",768398746,768399023,"1","8"
"1",773058292,773058726,"1","8"
"1",828544392,828544591,"1","8"
"1",831209478,831209787,"1","8"
"1",836837646,836837981,"1","8"
"1",860064523,860064782,"1","8"
"1",899772793,899773268,"1","8"
"1",55549116,55549593,"4","3"
"1",467168941,467169355,"3","4"
"1",467715092,467715449,"4","3"
"1",491837594,491838021,"4","3"
"1",549014861,549015272,"3","4"
"1",596040514,596040945,"4","3"
"1",835005944,835006335,"4","3"
"1",442752934,442753380,"3","6"
"1",490729799,490730167,"6","3"
"1",508513724,508514047,"3","6"
"1",651132467,651132600,"6","3"
"1",702650937,702651118,"3","6"
"1",800321164,800321387,"3","7"
"1",49222530,49222740,"3","8"
"1",55746428,55746767,"3","8"
"1",130949869,130950119,"3","8"
"1",167260871,167261228,"3","8"
"1",256994495,256994983,"3","8"
"1",312875144,312875557,"3","8"
"1",329473535,329473791,"3","8"
"1",342370467,342370919,"3","8"
"1",393046506,393046755,"3","8"
"1",494131103,494131310,"3","8"
"1",572275014,572275452,"3","8"
"1",588663069,588663268,"3","8"
"1",648211758,648212051,"3","8"
"1",651132600,651132908,"3","8"
"1",658283388,658283871,"3","8"
"1",658963218,658963672,"3","8"
"1",661731924,661732286,"3","8"
"1",671453422,671453838,"3","8"
"1",776833822,776834014,"3","8"
"1",821458578,821458903,"3","8"
"1",822496419,822496589,"8","3"
"1",822496589,822496941,"3","8"
"1",826615704,826616071,"3","8"
"1",828766545,828766704,"3","8"
"1",832728987,832729304,"3","8"
"1",834254399,834254568,"3","8"
"1",843594475,843594693,"3","8"
"1",855022554,855022876,"3","8"
"1",861640639,861641040,"3","8"
"1",888187906,888188337,"3","8"
"1",223476055,223476450,"4","6"
"1",311699564,311699955,"4","6"
"1",316661184,316661675,"4","6"
"1",422018967,422019213,"6","4"
"1",489337781,489338136,"4","6"
"1",499548535,499548939,"4","6"
"1",411674068,411674285,"4","7"
"1",505159317,505159740,"4","7"
"1",649029531,649029806,"4","7"
"1",736046088,736046548,"4","7"
"1",834255503,834255780,"4","7"
"1",905761229,905761502,"4","7"
"1",51788090,51788521,"4","8"
"1",62784774,62784968,"4","8"
"1",87491318,87491802,"4","8"
"1",143669271,143669474,"4","8"
"1",150224898,150225224,"4","8"
"1",175927716,175927972,"4","8"
"1",215695000,215695358,"4","8"
"1",229877539,229877973,"4","8"
"1",252903403,252903564,"8","4"
"1",256260594,256260895,"4","8"
"1",310309310,310309593,"4","8"
"1",312805593,312805876,"8","4"
"1",312813254,312813533,"4","8"
"1",403714710,403714929,"4","8"
"1",409523173,409523405,"4","8"
"1",423865535,423865820,"4","8"
"1",424399689,424399851,"8","4"
"1",511183823,511184157,"4","8"
"1",563696666,563697029,"8","4"
"1",580874922,580875159,"4","8"
"1",587894298,587894569,"4","8"
"1",608543741,608544101,"4","8"
"1",649921463,649921861,"4","8"
"1",687847888,687847929,"8","4"
"1",720151223,720151618,"4","8"
"1",737970592,737971047,"4","8"
"1",754748289,754748686,"4","8"
"1",759727731,759728010,"8","4"
"1",858791822,858792303,"4","8"
"1",900073833,900073974,"4","8"
"1",907164851,907165185,"8","4"
"1",406463855,406464280,"6","7"
"1",517477436,517477680,"6","7"
"1",520735970,520736147,"6","7"
"1",564365005,564365399,"6","7"
"1",654001879,654002235,"6","7"
"1",689721174,689721468,"6","7"
"1",746568780,746569261,"6","7"
"1",757585941,757586205,"6","7"
"1",830130308,830130548,"6","7"
"1",830182926,830183098,"6","7"
"1",838047522,838047733,"6","7"
"1",861164064,861164347,"6","7"
"1",42385150,42385314,"6","8"
"1",53909955,53910280,"6","8"
"1",59522961,59523274,"6","8"
"1",163608130,163608575,"6","8"
"1",168384591,168384938,"6","8"
"1",223289808,223290042,"6","8"
"1",243882749,243882979,"6","8"
"1",325523963,325524169,"6","8"
"1",351562185,351562567,"6","8"
"1",404536583,404536919,"6","8"
"1",415104961,415105428,"6","8"
"1",415785023,415785229,"6","8"
"1",419748042,419748250,"6","8"
"1",435673289,435673509,"6","8"
"1",478638967,478639252,"6","8"
"1",486143305,486143649,"6","8"
"1",496810215,496810654,"6","8"
"1",551514378,551514628,"6","8"
"1",573557597,573558009,"6","8"
"1",651132467,651132908,"6","8"
"1",742724122,742724585,"6","8"
"1",743266730,743266984,"6","8"
"1",754522409,754522668,"6","8"
"1",761150212,761150392,"6","8"
