"tubetrans","value1","value2","vector1","vector2"
"1",65124438,65124819,"2","4"
"1",651484000,651484395,"2","4"
"1",684337653,684337987,"2","4"
"1",425091459,425091642,"2","5"
"1",49541476,49541549,"2","6"
"1",219078284,219078325,"2","6"
"1",490360116,490360567,"6","2"
"1",846921916,846921968,"6","2"
"1",887515769,887515828,"2","6"
"1",44388574,44389060,"2","7"
"1",58644599,58645040,"2","7"
"1",131539807,131540283,"2","7"
"1",168759066,168759525,"2","7"
"1",226874152,226874611,"2","7"
"1",476632764,476633157,"2","7"
"1",477881177,477881214,"2","7"
"1",517350547,517350961,"2","7"
"1",562382965,562383016,"2","7"
"1",574453978,574454478,"2","7"
"1",825199002,825199060,"2","7"
"1",252179274,252179423,"3","4"
"1",577391329,577391520,"3","4"
"1",864509766,864510001,"3","4"
"1",894948271,894948614,"3","4"
"1",334904671,334904886,"3","5"
"1",394342762,394343116,"3","7"
"1",400936846,400936901,"7","3"
"1",688458161,688458618,"3","7"
"1",61881000,61881390,"5","4"
"1",251884085,251884434,"5","4"
"1",418193792,418194253,"5","4"
"1",499806187,499806489,"5","4"
"1",505079404,505079708,"5","4"
"1",510766177,510766610,"5","4"
"1",591498332,591498638,"5","4"
"1",682508220,682508631,"5","4"
"1",851017543,851017977,"5","4"
"1",859386007,859386293,"5","4"
"1",246890494,246890828,"6","4"
"1",475861946,475862283,"6","4"
"1",503415502,503415731,"6","4"
"1",509697871,509698083,"6","4"
"1",600085722,600085979,"6","4"
"1",682559076,682559496,"6","4"
"1",756034175,756034530,"6","4"
"1",837842586,837843000,"6","4"
"1",53962823,53963100,"4","7"
"1",342946311,342946488,"4","7"
"1",518238881,518239371,"4","7"
"1",603798199,603798370,"4","7"
"1",825811488,825811780,"4","7"
"1",834488872,834489178,"4","7"
"1",863478584,863478795,"4","7"
"1",537828205,537828446,"6","5"
"1",658698937,658699393,"5","6"
"1",779302931,779303130,"6","5"
"1",841439268,841439491,"6","5"
"1",49875093,49875433,"5","7"
"1",54447449,54447904,"5","7"
"1",135012368,135012832,"5","7"
"1",492121092,492121578,"5","7"
"1",519444368,519444765,"5","7"
"1",566626056,566626394,"5","7"
"1",648414852,648415129,"5","7"
"1",651728689,651729170,"5","7"
"1",664634190,664634566,"5","7"
"1",673577697,673577937,"5","7"
"1",688407815,688408064,"5","7"
"1",748560009,748560212,"5","7"
"1",755460744,755460899,"5","7"
"1",777876873,777877257,"5","7"
"1",839950703,839950768,"7","5"
"1",862355112,862355393,"5","7"
"1",867651094,867651285,"5","7"
"1",580586643,580587054,"6","7"
"1",837246587,837246762,"6","7"
"2",53649143,53649536,"2","4"
"2",77072551,77072847,"2","4"
"2",683397454,683397829,"2","4"
"2",738889755,738890032,"2","4"
"2",777146064,777146350,"2","4"
"2",856207083,856207498,"2","4"
"2",879254941,879255340,"2","4"
"2",537755888,537756033,"2","5"
"2",695126252,695126321,"6","2"
"2",175167801,175168123,"2","7"
"2",216003736,216004164,"2","7"
"2",581628399,581628758,"2","7"
"2",846474792,846475206,"2","7"
"2",847058392,847058750,"2","7"
"2",133106274,133106733,"3","4"
"2",325697136,325697392,"3","4"
"2",894944855,894945265,"3","4"
"2",251084411,251084832,"3","5"
"2",670188331,670188785,"5","3"
"2",40176449,40176867,"3","7"
"2",62374197,62374658,"3","7"
"2",244411613,244411785,"3","7"
"2",310196035,310196164,"3","7"
"2",320058018,320058138,"3","7"
"2",407973672,407973928,"3","7"
"2",608063402,608063679,"3","7"
"2",61773012,61773379,"5","4"
"2",418160378,418160735,"5","4"
"2",499823252,499823506,"5","4"
"2",830257244,830257573,"5","4"
"2",157639498,157639795,"6","4"
"2",311351904,311352015,"6","4"
"2",418147341,418147540,"6","4"
"2",259695650,259696048,"4","7"
"2",266751157,266751515,"4","7"
"2",388659104,388659265,"4","7"
"2",434444955,434445129,"4","7"
"2",500110033,500110346,"4","7"
"2",515683552,515683867,"4","7"
"2",547974052,547974234,"4","7"
"2",599313174,599313417,"4","7"
"2",609202741,609203144,"4","7"
"2",609935647,609936056,"4","7"
"2",649625311,649625611,"4","7"
"2",654637231,654637401,"4","7"
"2",749265168,749265647,"4","7"
"2",832110282,832110453,"4","7"
"2",865091482,865091623,"4","7"
"2",879255340,879255835,"4","7"
"2",739266680,739267098,"5","6"
"2",776874335,776874562,"6","5"
