Date;Group;Winner;Loser;hybrid_w;hybrid_l;Age_w;Age_l;Lag_day_w;Lag_day_l;aggr_index
0;1;1;2;0.087;0.14225;12.27104723;13.00752909;0;0;0.008245072
3;1;2;4;0.14225;0.0665;13.01574264;17.53593429;3;0;0.009189462
17;1;3;11;0.28875;0.47675;7.559206023;14.13552361;0;0;0.009189462
17;1;2;4;0.14225;0.0665;13.05407255;17.5742642;14;14;0.009189462
17;1;3;4;0.28875;0.0665;7.559206023;17.5742642;0;0;0.009189462
52;1;3;11;0.28875;0.47675;7.655030801;14.23134839;35;35;0.019002885
52;1;3;4;0.28875;0.0665;7.655030801;17.67008898;0;35;0.019002885
66;1;2;4;0.14225;0.0665;13.18822724;17.70841889;49;14;0.019002885
73;1;4;11;0.0665;0.47675;17.72758385;14.28884326;7;21;0.010242023
192;1;2;4;0.14225;0.0665;13.53319644;18.05338809;126;119;0.010242023
192;1;2;3;0.14225;0.28875;13.53319644;8.038329911;0;140;0.010242023
192;1;3;4;0.28875;0.0665;8.038329911;18.05338809;0;0;0.010242023
192;1;3;4;0.28875;0.0665;8.038329911;18.05338809;0;0;0.010242023
192;1;3;1;0.28875;0.087;8.038329911;12.79671458;0;192;0.010242023
199;1;2;3;0.14225;0.28875;13.5523614;8.057494867;7;7;0.019002885
217;1;2;4;0.14225;0.0665;13.60164271;18.12183436;18;25;0.019002885
217;1;2;3;0.14225;0.28875;13.60164271;8.106776181;0;18;0.019002885
231;1;2;4;0.14225;0.0665;13.63997262;18.16016427;14;14;0.017049981
231;1;3;5;0.28875;0.24775;8.145106092;10.0752909;14;0;0.017049981
236;1;2;11;0.14225;0.47675;13.65366188;14.73511294;5;163;0.009189462
239;1;5;11;0.24775;0.47675;10.0971937;14.74332649;8;3;0.009189462
239;1;5;2;0.24775;0.14225;10.0971937;13.66187543;0;3;0.009189462
239;1;5;3;0.24775;0.28875;10.0971937;8.167008898;0;8;0.009189462
239;1;2;4;0.14225;0.0665;13.66187543;18.18206708;0;8;0.009189462
239;1;2;11;0.14225;0.47675;13.66187543;14.74332649;0;0;0.009189462
239;1;5;3;0.24775;0.28875;10.0971937;8.167008898;0;0;0.009189462
239;1;3;4;0.28875;0.0665;8.167008898;18.18206708;0;0;0.009189462
239;1;4;11;0.0665;0.47675;18.18206708;14.74332649;0;0;0.009189462
241;1;5;11;0.24775;0.47675;10.1026694;14.74880219;2;2;0.009189462
241;1;4;11;0.0665;0.47675;18.18754278;14.74880219;2;0;0.009189462
241;1;5;3;0.24775;0.28875;10.1026694;8.1724846;0;2;0.009189462
