"tubetrans","value1","value2","vector1","vector2"
"1",157709111,157709313,"2","3"
"1",410624953,410625347,"2","3"
"1",586541358,586541720,"3","2"
"1",644746210,644746663,"2","3"
"1",669157121,669157420,"2","3"
"1",670080590,670081027,"2","3"
"1",671125280,671125570,"2","3"
"1",671137178,671137489,"2","3"
"1",671231828,671232000,"2","3"
"1",673582007,673582305,"2","3"
"1",673662439,673662669,"2","3"
"1",674218676,674219153,"2","3"
"1",675048592,675048787,"2","3"
"1",675304006,675304256,"2","3"
"1",675435433,675435627,"2","3"
"1",686475496,686475684,"2","3"
"1",693690075,693690565,"2","3"
"1",739392956,739393317,"2","3"
"1",747955250,747955416,"3","2"
"1",748705105,748705301,"2","3"
"1",748725874,748726184,"2","3"
"1",749806830,749807230,"2","3"
"1",749826166,749826591,"2","3"
"1",752047347,752047838,"2","3"
"1",752061059,752061347,"2","3"
"1",754691931,754692177,"2","3"
"1",754701999,754702298,"2","3"
"1",755599694,755599876,"2","3"
"1",755611116,755611389,"2","3"
"1",760164502,760164971,"2","3"
"1",762376513,762376887,"2","3"
"1",762386325,762386635,"2","3"
"1",762757615,762757940,"2","3"
"1",777422536,777422764,"2","3"
"1",810410669,810410990,"3","2"
"1",833361170,833361583,"3","2"
"1",834035274,834035528,"2","3"
"1",836597984,836598390,"3","2"
"1",848535726,848535912,"2","3"
"1",868734530,868734696,"2","3"
"1",893028312,893028506,"2","3"
"1",688047875,688048161,"4","2"
"1",735662814,735663247,"4","2"
"1",811239019,811239350,"4","2"
"1",826355853,826356237,"4","2"
"1",833254697,833255120,"4","2"
"1",40201228,40201599,"2","5"
"1",134837337,134837716,"2","5"
"1",150906499,150906734,"2","5"
"1",156601350,156601728,"2","5"
"1",158651116,158651407,"2","5"
"1",162070749,162071114,"2","5"
"1",164531238,164531455,"2","5"
"1",215414889,215415189,"2","5"
"1",283144140,283144430,"2","5"
"1",350329289,350329465,"2","5"
"1",368336659,368337007,"2","5"
"1",528090287,528090473,"2","5"
